Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
Gm14403	1.43033	1.14154	1.0842	0.796493	1.19786
Ssna1	60.2724	54.988	43.5772	50.4256	60.597
Cdc42se1	97.0249	93.9224	71.8105	85.8032	99.9844
Zfp106	33.2692	32.4979	27.3909	28.1675	33.267
Slc25a14	7.39122	5.98505	5.57118	6.0722	7.32314
Pcf11	10.2165	7.20534	6.78953	7.12618	8.49281
Taf7	5.87082	5.06679	4.36824	3.64075	4.63296
Akap1	19.8933	19.4524	15.6239	17.04	21.5629
Crtc1	7.53671	7.87574	6.17344	6.99536	8.03574
Dcaf13	42.098	35.5812	29.3498	32.0996	38.812
Vkorc1l1	18.0213	14.8805	12.8507	13.9402	17.3357
Siah2	11.8794	10.1288	9.36558	8.3007	11.1855
Gne	18.4341	20.752	15.4255	17.0321	14.441
Nol7	50.5322	49.5295	35.9516	39.4142	45.2148
Polr3f	11.6565	8.61019	8.1589	8.1927	9.51156
Ppp1r12b	5.98171	5.45714	5.60363	4.91862	5.76997
Snhg12	20.4606	21.2141	14.2271	18.7417	19.9864
Nme1	171.849	158.112	124.155	143.368	172.057
Zc3h18	21.282	21.8171	17.0467	18.0578	20.6653
Polr2i	36.1776	37.0254	28.3853	28.2754	38.5145
Rundc3a	27.573	31.3623	20.8718	26.3454	41.5709
Ncald	48.7207	37.3739	35.8452	28.9425	29.5862
Lonrf1	6.40934	5.50269	4.7082	4.72632	6.55407
Psmc2	111.033	98.2929	86.2885	90.6769	104.261
Ehd2	18.671	16.8598	12.286	14.1999	12.6951
Amd2	43.5391	29.4057	28.9986	28.1848	30.5621
Mrpl36	51.8119	46.2428	34.6744	44.1293	49.293
Sel1l3	22.2196	29.2788	15.1639	19.5289	26.0375
Gsr	42.2369	40.025	32.2894	33.3538	41.6613
Dnajc13	19.5662	16.6607	16.1929	16.1115	18.2976
Trmt61b	5.9156	5.68308	4.66222	4.80334	4.8373
Ccdc66	8.14591	6.68538	5.83592	6.58129	6.25871
Magohb	24.0967	15.4383	13.2714	12.6929	18.048
Tpm4	107.225	75.6111	64.2485	66.8682	77.8482
Iars2	50.6154	45.3217	37.3349	42.6058	51.3011
Chchd1	152.106	109.165	84.8446	103.819	133.907
Arid4a	5.59074	5.3411	4.57695	4.43534	4.89818
Ptcd2	31.2897	28.0547	21.3355	23.1182	26.3247
Mtss1	28.3539	29.5345	24.4001	25.976	25.9258
Helz	4.59388	5.17803	4.98449	4.15503	4.66476
Dpp9	20.6075	21.3428	16.6861	20.0389	22.3295
Klhdc4	16.5999	14.726	13.4107	13.0295	15.9455
Gpn1	20.4993	18.0915	14.4709	16.7694	22.6614
Ict1	59.1673	60.8426	45.7812	48.4458	57.5433
1700052N19Rik	15.1402	10.4655	8.59796	11.9352	12.9093
Hist2h2aa2	1.721558	5.574749083	1.761514806	4.03015	1.899943
Metrn	220.421	252.929	183.911	224.809	273.277
Alkbh8	8.63061	7.00222	6.34303	6.16886	8.21828
Rpl41	1943.88	1975.88	1440.18	1681.68	1968.87
Cd2bp2	26.3278	23.3773	20.3445	22.1869	27.1101
Ddx1	120.61	104.245	87.1479	95.0635	114.63
Zfp563	1.20468	1.0612	1.03114	0.787806	0.804823
Hsph1	48.0537	39.0243	37.4621	38.5778	45.8806
4931414P19Rik	3.54432	2.93887	2.45279	2.77603	3.22621
Tfb1m	7.89472	5.94286	5.85232	5.51706	7.51822
Mtr	7.17141	5.92658	5.19194	5.79254	6.21626
Pou3f3os	57.3067	60.6211	44.2725	49.0499	60.8847
Ptbp3	13.5211	9.28131	8.77575	8.61125	9.65691
Snapc3	13.2026	9.56393	7.2299	9.13606	9.93611
Hes6	81.9741	83.3425	51.4562	69.7229	76.0063
Mrpl11	15.1779	13.5391	11.5467	11.5644	14.6344
Alg3	20.6428	17.7512	14.8694	19.0026	18.6622
Ccdc88c	8.01117	7.90017	6.28142	7.94038	9.75237
Agpat6	33.8711	31.8087	27.0783	29.1247	34.1603
